population	n	Ho	He	Fis	Fis_lo	Fis_hi	pct_poly
LookoutCreek	20	0.0805	0.0677	-0.1893	-0.2254	-0.1531	27.7
FlintRiver_RylandPike	20	0.1265	0.1087	-0.1636	-0.194	-0.133	36.3
Sequatchie_Teague	20	0.1104	0.1028	-0.074	-0.1013	-0.0464	40.6
PaintRock_AL2	20	0.1272	0.0985	-0.2914	-0.3207	-0.2605	36.3
Dry_Creek	20	0.0609	0.0472	-0.2888	-0.3352	-0.2424	20.1
Pidgeon_River	17	0.1252	0.11	-0.1381	-0.1677	-0.1074	39.4
Sequatchie_OldYork	20	0.1148	0.0999	-0.1499	-0.1735	-0.1263	40.2
Sequatchie_Inman	20	0.1333	0.1265	-0.0535	-0.0769	-0.03	48.6
FlintRiver_HWY61	20	0.149	0.1217	-0.2243	-0.2505	-0.1969	42.7
BentCreek	20	0.1257	0.0951	-0.3216	-0.3518	-0.2922	33.4
SpringCreek	20	0.1129	0.0911	-0.2386	-0.2692	-0.2065	34.9
