population	Ar	Ar_n	Ar_lo	Ar_hi	privAr	privAr_n	privAr_lo	privAr_hi	priv_total
LookoutCreek	1.3235	1650	1.3004	1.3466	0.0063	856	0.0018	0.0118	5.4
FlintRiver_RylandPike	1.4364	1632	1.4108	1.4623	0.0038	856	2e-04	0.0084	3.2
Sequatchie_Teague	1.4877	1656	1.4608	1.5144	2e-04	856	0	6e-04	0.2
PaintRock_AL2	1.4341	1652	1.4083	1.4603	0.0308	856	0.02	0.0426	26.4
Dry_Creek	1.2342	1667	1.214	1.2551	0.0023	856	1e-04	0.0056	2
Pidgeon_River	1.3933	1017	1.3608	1.4253	0.0229	856	0.0136	0.0329	19.6
Sequatchie_OldYork	1.4844	1651	1.458	1.5098	0.0043	856	0.001	0.0091	3.7
Sequatchie_Inman	1.5916	1626	1.5642	1.619	0.004	856	5e-04	0.0086	3.4
FlintRiver_HWY61	1.5078	1638	1.482	1.5341	0.0123	856	0.0059	0.02	10.6
BentCreek	1.3963	1651	1.3714	1.4208	0.0579	856	0.0426	0.0744	49.5
SpringCreek	1.4197	1639	1.3949	1.4446	0.0795	856	0.0612	0.0994	68
