population	Ar	Ar_n	Ar_lo	Ar_hi	privAr	privAr_n	privAr_lo	privAr_hi	priv_total
LookoutCreek	1.2619	2200	1.2428	1.2814	0.003	1193	5e-04	0.0063	3.6
FlintRiver_RylandPike	1.3494	2171	1.3287	1.3699	0.0011	1193	1e-04	0.003	1.3
Sequatchie_Teague	1.3901	2211	1.3692	1.4109	0	1193	0	1e-04	0
PaintRock_AL2	1.3462	2203	1.3255	1.367	0.0237	1193	0.0157	0.0326	28.3
Dry_Creek	1.1888	2225	1.1725	1.2053	0.0011	1193	0	0.003	1.3
Pidgeon_River	1.3119	1398	1.286	1.337	0.0148	1193	0.0085	0.0215	17.6
Sequatchie_OldYork	1.3847	2209	1.3642	1.4047	0	1193	0	1e-04	0
Sequatchie_Inman	1.4664	2179	1.4456	1.4869	0.0038	1193	0.001	0.0075	4.5
FlintRiver_HWY61	1.407	2187	1.3868	1.4278	0.0074	1193	0.0027	0.0132	8.9
BentCreek	1.3174	2206	1.2971	1.3376	0.048	1193	0.0356	0.0614	57.2
SpringCreek	1.3352	2194	1.3155	1.3552	0.0607	1193	0.0475	0.0749	72.5
