sample	population	loci_called	heterozygosity
Lvir-pop_001	LookoutCreek	2179	0.06058
Lvir-pop_002	LookoutCreek	2178	0.08586
Lvir-pop_003	LookoutCreek	2166	0.09095
Lvir-pop_004	LookoutCreek	2095	0.05585
Lvir-pop_005	LookoutCreek	2150	0.09023
Lvir-pop_006	LookoutCreek	2169	0.07469
Lvir-pop_007	LookoutCreek	2174	0.09108
Lvir-pop_008	LookoutCreek	2162	0.10546
Lvir-pop_009	LookoutCreek	2172	0.08241
Lvir-pop_010	LookoutCreek	2164	0.061
Lvir-pop_011	LookoutCreek	2181	0.08116
Lvir-pop_012	LookoutCreek	2172	0.07228
Lvir-pop_013	LookoutCreek	2153	0.0641
Lvir-pop_014	LookoutCreek	2178	0.06612
Lvir-pop_015	LookoutCreek	2167	0.06414
Lvir-pop_016	LookoutCreek	2160	0.05093
Lvir-pop_017	LookoutCreek	2172	0.05663
Lvir-pop_018	LookoutCreek	2157	0.07418
Lvir-pop_019	LookoutCreek	2169	0.05671
Lvir-pop_020	LookoutCreek	2089	0.13882
Lvir-pop_021	FlintRiver_RylandPike	2150	0.11163
Lvir-pop_022	FlintRiver_RylandPike	2179	0.1262
Lvir-pop_023	FlintRiver_RylandPike	2147	0.1034
Lvir-pop_024	FlintRiver_RylandPike	2170	0.12535
Lvir-pop_025	FlintRiver_RylandPike	2100	0.10762
Lvir-pop_026	FlintRiver_RylandPike	2166	0.12789
Lvir-pop_027	FlintRiver_RylandPike	2131	0.10511
Lvir-pop_028	FlintRiver_RylandPike	2138	0.11553
Lvir-pop_029	FlintRiver_RylandPike	2153	0.11426
Lvir-pop_030	FlintRiver_RylandPike	2115	0.11017
Lvir-pop_031	FlintRiver_RylandPike	2114	0.17881
Lvir-pop_032	FlintRiver_RylandPike	2152	0.11199
Lvir-pop_033	FlintRiver_RylandPike	2133	0.15096
Lvir-pop_034	FlintRiver_RylandPike	2116	0.09877
Lvir-pop_035	FlintRiver_RylandPike	2174	0.12925
Lvir-pop_036	FlintRiver_RylandPike	2131	0.12201
Lvir-pop_037	FlintRiver_RylandPike	2189	0.10873
Lvir-pop_038	FlintRiver_RylandPike	2143	0.13906
Lvir-pop_039	FlintRiver_RylandPike	2166	0.12881
Lvir-pop_040	FlintRiver_RylandPike	2131	0.10183
Lvir-pop_041	Sequatchie_Teague	2143	0.13346
Lvir-pop_042	Sequatchie_Teague	2159	0.12459
Lvir-pop_043	Sequatchie_Teague	2166	0.09926
Lvir-pop_044	Sequatchie_Teague	2143	0.11339
Lvir-pop_045	Sequatchie_Teague	2131	0.13796
Lvir-pop_046	Sequatchie_Teague	2168	0.0964
Lvir-pop_047	Sequatchie_Teague	2178	0.07071
Lvir-pop_048	Sequatchie_Teague	2179	0.0872
Lvir-pop_049	Sequatchie_Teague	2154	0.09053
Lvir-pop_050	Sequatchie_Teague	2179	0.10739
Lvir-pop_051	Sequatchie_Teague	2178	0.09366
Lvir-pop_052	Sequatchie_Teague	2197	0.09331
Lvir-pop_053	Sequatchie_Teague	2183	0.11819
Lvir-pop_054	Sequatchie_Teague	2161	0.12957
Lvir-pop_055	Sequatchie_Teague	2182	0.10037
Lvir-pop_056	Sequatchie_Teague	2145	0.07879
Lvir-pop_057	Sequatchie_Teague	2178	0.12213
Lvir-pop_058	Sequatchie_Teague	2145	0.14545
Lvir-pop_059	Sequatchie_Teague	2177	0.09371
Lvir-pop_060	Sequatchie_Teague	2143	0.13906
Lvir-pop_061	PaintRock_AL2	2174	0.10166
Lvir-pop_062	PaintRock_AL2	2170	0.11152
