population	n	Ho	He	Fis	Fis_lo	Fis_hi	pct_poly
LookoutCreek	20	0.0879	0.0735	-0.1951	-0.234	-0.1558	30
FlintRiver_RylandPike	20	0.1483	0.1283	-0.1563	-0.1839	-0.1291	41.2
Sequatchie_Teague	20	0.1281	0.1185	-0.0809	-0.1094	-0.0518	43.7
PaintRock_AL2	20	0.1448	0.1114	-0.2999	-0.3284	-0.2716	39.3
Dry_Creek	20	0.0678	0.0516	-0.3133	-0.3582	-0.2672	20.7
Pidgeon_River	17	0.1452	0.1261	-0.1511	-0.1776	-0.1239	43.7
Sequatchie_OldYork	20	0.1315	0.1147	-0.1458	-0.1674	-0.1238	44.4
Sequatchie_Inman	20	0.1547	0.1457	-0.0624	-0.0869	-0.0384	52.9
FlintRiver_HWY61	20	0.1781	0.1442	-0.235	-0.2599	-0.2098	47.7
BentCreek	20	0.1439	0.1085	-0.3268	-0.3561	-0.2967	37.1
SpringCreek	20	0.1325	0.1054	-0.2569	-0.2873	-0.2245	39
