population	Ar	Ar_n	Ar_lo	Ar_hi	privAr	privAr_n	privAr_lo	privAr_hi	priv_total
LookoutCreek	1.2825	1558	1.2609	1.3048	0.0074	1551	0.0039	0.0115	11.5
FlintRiver_RylandPike	1.407	1558	1.382	1.4321	0.0058	1551	0.0026	0.0099	9
Sequatchie_Teague	1.4351	1558	1.4091	1.461	4e-04	1551	1e-04	0.001	0.7
PaintRock_AL2	1.3883	1558	1.3629	1.4129	0.0361	1551	0.0273	0.0454	56
Dry_Creek	1.1954	1557	1.1763	1.2153	0.0028	1551	9e-04	0.0052	4.3
Pidgeon_River	1.4391	1553	1.4133	1.466	0.0333	1551	0.025	0.0421	51.7
Sequatchie_OldYork	1.4334	1557	1.4079	1.4589	0.0039	1551	0.0014	0.0068	6
Sequatchie_Inman	1.5353	1557	1.5082	1.5623	0.0083	1551	0.0045	0.0128	12.9
FlintRiver_HWY61	1.4739	1558	1.4479	1.5001	0.0106	1551	0.0062	0.0154	16.4
BentCreek	1.3629	1559	1.339	1.3873	0.0578	1551	0.0464	0.0696	89.7
SpringCreek	1.374	1559	1.3504	1.3979	0.0719	1551	0.059	0.0844	111.4
