population	n	Ho	He	Fis	Fis_lo	Fis_hi	pct_poly
LookoutCreek	20	0.1174	0.0938	-0.2512	-0.2786	-0.2226	37.1
FlintRiver_RylandPike	20	0.1731	0.1421	-0.2179	-0.2409	-0.195	45.8
Sequatchie_Teague	20	0.1327	0.1204	-0.1024	-0.1242	-0.0803	49.2
PaintRock_AL2	20	0.15	0.1148	-0.3064	-0.3283	-0.284	41.6
Dry_Creek	20	0.076	0.0577	-0.3162	-0.3501	-0.2823	25.5
Pidgeon_River	17	0.1421	0.1233	-0.1525	-0.1748	-0.1313	44.2
Sequatchie_OldYork	20	0.1368	0.1194	-0.1457	-0.1638	-0.1276	51.6
Sequatchie_Inman	20	0.1662	0.1532	-0.0852	-0.1036	-0.0666	58.8
FlintRiver_HWY61	20	0.1882	0.152	-0.238	-0.2571	-0.2186	53.1
BentCreek	20	0.1588	0.1187	-0.3381	-0.3611	-0.3149	44.6
SpringCreek	20	0.1595	0.1277	-0.249	-0.2713	-0.2256	47.2
