population	n	Ho	He	Fis	Fis_lo	Fis_hi	pct_poly
LookoutCreek	20	0.0976	0.0786	-0.2417	-0.2712	-0.211	31.9
FlintRiver_RylandPike	20	0.1427	0.1174	-0.2154	-0.2418	-0.1887	38.8
Sequatchie_Teague	20	0.1071	0.0977	-0.0968	-0.1187	-0.074	42.9
PaintRock_AL2	20	0.122	0.0939	-0.2992	-0.3238	-0.2736	35.6
Dry_Creek	20	0.0616	0.0471	-0.3087	-0.3444	-0.2726	21.5
Pidgeon_River	17	0.1161	0.1011	-0.1484	-0.173	-0.123	37.3
Sequatchie_OldYork	20	0.1113	0.0976	-0.1397	-0.1607	-0.1186	45.1
Sequatchie_Inman	20	0.1343	0.1249	-0.0758	-0.0955	-0.0561	51.2
FlintRiver_HWY61	20	0.1534	0.1247	-0.2299	-0.251	-0.2078	46.2
BentCreek	20	0.1312	0.0984	-0.3331	-0.3579	-0.3081	38
SpringCreek	20	0.1313	0.1058	-0.2406	-0.267	-0.2126	40.5
