population	Ar	Ar_n	Ar_lo	Ar_hi	privAr	privAr_n	privAr_lo	privAr_hi	priv_total
LookoutCreek	1.3607	2517	1.3419	1.3799	0.007	2507	0.0042	0.0101	17.6
FlintRiver_RylandPike	1.4606	2517	1.4394	1.4815	0.0083	2507	0.0053	0.0116	20.8
Sequatchie_Teague	1.4908	2517	1.4699	1.5123	0.0016	2507	5e-04	0.003	4
PaintRock_AL2	1.4138	2516	1.3935	1.4339	0.0253	2507	0.0197	0.0314	63.5
Dry_Creek	1.2421	2516	1.225	1.2586	0.0034	2507	0.0016	0.0056	8.5
Pidgeon_River	1.4526	2509	1.4318	1.4736	0.0267	2507	0.0209	0.0328	67
Sequatchie_OldYork	1.5148	2517	1.4933	1.5362	0.005	2507	0.0027	0.0075	12.4
Sequatchie_Inman	1.6038	2516	1.5821	1.6253	0.0075	2507	0.0048	0.0105	18.7
FlintRiver_HWY61	1.5416	2516	1.5204	1.5635	0.0106	2507	0.0072	0.0144	26.6
BentCreek	1.4341	2516	1.4142	1.4537	0.0428	2507	0.0352	0.0507	107.2
SpringCreek	1.4761	2517	1.4547	1.4977	0.061	2507	0.0515	0.071	152.9
