population	Ar	Ar_n	Ar_lo	Ar_hi	privAr	privAr_n	privAr_lo	privAr_hi	priv_total
LookoutCreek	1.2973	3372	1.2815	1.3133	0.0037	3372	0.0019	0.0057	12.3
FlintRiver_RylandPike	1.3716	3372	1.3549	1.3884	0.0026	3372	0.0011	0.0045	8.9
Sequatchie_Teague	1.3958	3372	1.3793	1.4127	1e-04	3372	0	1e-04	0.2
PaintRock_AL2	1.3326	3372	1.3162	1.3491	0.0165	3372	0.0126	0.0206	55.7
Dry_Creek	1.1961	3372	1.1819	1.2098	8e-04	3372	2e-04	0.0017	2.8
Pidgeon_River	1.3621	3372	1.3452	1.3787	0.0148	3372	0.0111	0.0189	49.9
Sequatchie_OldYork	1.4142	3372	1.3977	1.4309	4e-04	3372	1e-04	0.0011	1.4
Sequatchie_Inman	1.4813	3372	1.4646	1.4983	0.002	3372	9e-04	0.0034	6.7
FlintRiver_HWY61	1.4352	3372	1.4184	1.4526	0.0044	3372	0.0024	0.0068	15
BentCreek	1.3551	3372	1.3386	1.3719	0.0312	3372	0.0251	0.0376	105.3
SpringCreek	1.3804	3372	1.3637	1.3975	0.039	3372	0.0325	0.0458	131.4
