sample	population	loci_called	heterozygosity
Lvir-pop_001	LookoutCreek	3223	0.07664
Lvir-pop_002	LookoutCreek	3186	0.11017
Lvir-pop_003	LookoutCreek	3199	0.11347
Lvir-pop_004	LookoutCreek	3143	0.07891
Lvir-pop_005	LookoutCreek	3146	0.10807
Lvir-pop_006	LookoutCreek	3204	0.08583
Lvir-pop_007	LookoutCreek	3226	0.09702
Lvir-pop_008	LookoutCreek	3191	0.12003
Lvir-pop_009	LookoutCreek	3175	0.1115
Lvir-pop_010	LookoutCreek	3205	0.08019
Lvir-pop_011	LookoutCreek	3223	0.07912
Lvir-pop_012	LookoutCreek	3180	0.07987
Lvir-pop_013	LookoutCreek	3195	0.07981
Lvir-pop_014	LookoutCreek	3205	0.09454
Lvir-pop_015	LookoutCreek	3225	0.07659
Lvir-pop_016	LookoutCreek	3212	0.05822
Lvir-pop_017	LookoutCreek	3172	0.06967
Lvir-pop_018	LookoutCreek	3166	0.10234
Lvir-pop_019	LookoutCreek	3206	0.07205
Lvir-pop_020	LookoutCreek	3090	0.15987
Lvir-pop_021	FlintRiver_RylandPike	3199	0.11535
Lvir-pop_022	FlintRiver_RylandPike	3169	0.15052
Lvir-pop_023	FlintRiver_RylandPike	3195	0.11393
Lvir-pop_024	FlintRiver_RylandPike	3182	0.13671
Lvir-pop_025	FlintRiver_RylandPike	3133	0.13118
Lvir-pop_026	FlintRiver_RylandPike	3205	0.14103
Lvir-pop_027	FlintRiver_RylandPike	3178	0.10982
Lvir-pop_028	FlintRiver_RylandPike	3182	0.12822
Lvir-pop_029	FlintRiver_RylandPike	3191	0.1335
Lvir-pop_030	FlintRiver_RylandPike	3152	0.12754
Lvir-pop_031	FlintRiver_RylandPike	3107	0.1693
Lvir-pop_032	FlintRiver_RylandPike	3155	0.14992
Lvir-pop_033	FlintRiver_RylandPike	3062	0.15545
Lvir-pop_034	FlintRiver_RylandPike	3127	0.12312
Lvir-pop_035	FlintRiver_RylandPike	3210	0.14237
Lvir-pop_036	FlintRiver_RylandPike	3160	0.1557
Lvir-pop_037	FlintRiver_RylandPike	3233	0.11073
Lvir-pop_038	FlintRiver_RylandPike	3140	0.17611
Lvir-pop_039	FlintRiver_RylandPike	3145	0.15294
Lvir-pop_040	FlintRiver_RylandPike	3171	0.12141
Lvir-pop_041	Sequatchie_Teague	3147	0.15602
Lvir-pop_042	Sequatchie_Teague	3168	0.11427
Lvir-pop_043	Sequatchie_Teague	3191	0.09151
Lvir-pop_044	Sequatchie_Teague	3131	0.10699
Lvir-pop_045	Sequatchie_Teague	3111	0.12311
Lvir-pop_046	Sequatchie_Teague	3209	0.08881
Lvir-pop_047	Sequatchie_Teague	3229	0.06473
Lvir-pop_048	Sequatchie_Teague	3215	0.08429
Lvir-pop_049	Sequatchie_Teague	3158	0.08708
Lvir-pop_050	Sequatchie_Teague	3220	0.10217
Lvir-pop_051	Sequatchie_Teague	3225	0.08682
Lvir-pop_052	Sequatchie_Teague	3233	0.0931
Lvir-pop_053	Sequatchie_Teague	3213	0.10987
Lvir-pop_054	Sequatchie_Teague	3201	0.11559
Lvir-pop_055	Sequatchie_Teague	3232	0.09777
Lvir-pop_056	Sequatchie_Teague	3173	0.08446
Lvir-pop_057	Sequatchie_Teague	3199	0.11316
Lvir-pop_058	Sequatchie_Teague	3135	0.13557
Lvir-pop_059	Sequatchie_Teague	3208	0.09009
Lvir-pop_060	Sequatchie_Teague	3147	0.12583
Lvir-pop_061	PaintRock_AL2	3212	0.09963
Lvir-pop_062	PaintRock_AL2	3202	0.10712
Lvir-pop_063	PaintRock_AL2	3186	0.1108
Lvir-pop_064	PaintRock_AL2	3211	0.09872
Lvir-pop_065	PaintRock_AL2	3209	0.13587
Lvir-pop_066	PaintRock_AL2	3157	0.10801
Lvir-pop_067	PaintRock_AL2	3208	0.10505
Lvir-pop_068	PaintRock_AL2	3198	0.1132
Lvir-pop_069	PaintRock_AL2	3192	0.11779
Lvir-pop_070	PaintRock_AL2	3225	0.10698
Lvir-pop_071	PaintRock_AL2	3192	0.13189
Lvir-pop_072	PaintRock_AL2	3089	0.13402
Lvir-pop_073	PaintRock_AL2	3242	0.09778
Lvir-pop_074	PaintRock_AL2	3207	0.13471
Lvir-pop_075	PaintRock_AL2	3202	0.12648
Lvir-pop_076	PaintRock_AL2	3231	0.11885
Lvir-pop_077	PaintRock_AL2	3205	0.13604
Lvir-pop_078	PaintRock_AL2	3219	0.11215
Lvir-pop_079	PaintRock_AL2	3229	0.09136
Lvir-pop_080	PaintRock_AL2	3181	0.12292
Lvir-pop_081	Dry_Creek	3194	0.04728
Lvir-pop_082	Dry_Creek	3197	0.05536
Lvir-pop_083	Dry_Creek	3230	0.0678
Lvir-pop_084	Dry_Creek	3190	0.07524
Lvir-pop_085	Dry_Creek	3241	0.05832
Lvir-pop_086	Dry_Creek	3221	0.05775
Lvir-pop_087	Dry_Creek	3241	0.04351
Lvir-pop_088	Dry_Creek	3233	0.04763
Lvir-pop_089	Dry_Creek	3236	0.05377
Lvir-pop_090	Dry_Creek	3247	0.0465
Lvir-pop_091	Dry_Creek	3254	0.04118
Lvir-pop_092	Dry_Creek	3238	0.04324
Lvir-pop_093	Dry_Creek	3226	0.05611
Lvir-pop_094	Dry_Creek	3191	0.08179
Lvir-pop_095	Dry_Creek	3180	0.05786
Lvir-pop_096	Dry_Creek	3205	0.08331
Lvir-pop_097	Dry_Creek	3200	0.0625
Lvir-pop_098	Dry_Creek	3230	0.06966
Lvir-pop_099	Dry_Creek	3231	0.05819
Lvir-pop_100	Dry_Creek	3232	0.05724
Lvir-pop_101	Pidgeon_River	2926	0.15687
Lvir-pop_102	Pidgeon_River	3172	0.1116
Lvir-pop_103	Pidgeon_River	3177	0.12433
Lvir-pop_104	Pidgeon_River	3087	0.12051
Lvir-pop_105	Pidgeon_River	3231	0.09687
Lvir-pop_106	Pidgeon_River	3157	0.12037
Lvir-pop_107	Pidgeon_River	3193	0.11682
Lvir-pop_108	Pidgeon_River	3116	0.10879
Lvir-pop_109	Pidgeon_River	3062	0.12149
Lvir-pop_110	Pidgeon_River	3195	0.10736
Lvir-pop_111	Pidgeon_River	3171	0.1006
Lvir-pop_112	Pidgeon_River	3167	0.13862
Lvir-pop_113	Pidgeon_River	3205	0.09236
Lvir-pop_114	Pidgeon_River	3031	0.14022
Lvir-pop_115	Pidgeon_River	3228	0.09356
Lvir-pop_116	Pidgeon_River	3226	0.09113
Lvir-pop_117	Pidgeon_River	3215	0.10358
Lvir-pop_118	Sequatchie_OldYork	3245	0.09399
Lvir-pop_119	Sequatchie_OldYork	3207	0.09448
Lvir-pop_120	Sequatchie_OldYork	3136	0.09662
Lvir-pop_121	Sequatchie_OldYork	3133	0.10756
Lvir-pop_122	Sequatchie_OldYork	3192	0.09649
Lvir-pop_123	Sequatchie_OldYork	3232	0.09468
Lvir-pop_124	Sequatchie_OldYork	3135	0.11802
Lvir-pop_125	Sequatchie_OldYork	3211	0.08284
Lvir-pop_126	Sequatchie_OldYork	3231	0.1139
Lvir-pop_127	Sequatchie_OldYork	3212	0.10305
Lvir-pop_128	Sequatchie_OldYork	3151	0.0914
Lvir-pop_129	Sequatchie_OldYork	3117	0.10491
Lvir-pop_130	Sequatchie_OldYork	3217	0.09916
Lvir-pop_131	Sequatchie_OldYork	3164	0.13496
Lvir-pop_132	Sequatchie_OldYork	3176	0.09037
Lvir-pop_133	Sequatchie_OldYork	3119	0.13786
Lvir-pop_134	Sequatchie_OldYork	3122	0.11179
Lvir-pop_135	Sequatchie_OldYork	3125	0.1104
Lvir-pop_136	Sequatchie_OldYork	3174	0.11878
Lvir-pop_137	Sequatchie_OldYork	3124	0.16741
Lvir-pop_138	Sequatchie_Inman	3126	0.13436
Lvir-pop_139	Sequatchie_Inman	2932	0.13643
Lvir-pop_140	Sequatchie_Inman	3176	0.13004
Lvir-pop_141	Sequatchie_Inman	3210	0.11277
Lvir-pop_142	Sequatchie_Inman	3001	0.16261
Lvir-pop_143	Sequatchie_Inman	3155	0.12837
Lvir-pop_144	Sequatchie_Inman	3169	0.11612
Lvir-pop_145	Sequatchie_Inman	3207	0.09167
Lvir-pop_146	Sequatchie_Inman	3038	0.13627
Lvir-pop_147	Sequatchie_Inman	3185	0.13501
Lvir-pop_148	Sequatchie_Inman	3099	0.15102
Lvir-pop_149	Sequatchie_Inman	3218	0.10814
Lvir-pop_150	Sequatchie_Inman	3085	0.15624
Lvir-pop_151	Sequatchie_Inman	3167	0.15346
Lvir-pop_152	Sequatchie_Inman	3172	0.1425
Lvir-pop_153	Sequatchie_Inman	3187	0.12206
Lvir-pop_154	Sequatchie_Inman	3244	0.12731
Lvir-pop_155	Sequatchie_Inman	3191	0.12911
Lvir-pop_156	Sequatchie_Inman	3197	0.13481
Lvir-pop_157	Sequatchie_Inman	3184	0.10804
Lvir-pop_161	FlintRiver_HWY61	3179	0.1491
Lvir-pop_162	FlintRiver_HWY61	3087	0.15581
Lvir-pop_163	FlintRiver_HWY61	3170	0.13502
Lvir-pop_164	FlintRiver_HWY61	3150	0.13905
Lvir-pop_165	FlintRiver_HWY61	3121	0.16725
Lvir-pop_166	FlintRiver_HWY61	3183	0.13541
Lvir-pop_167	FlintRiver_HWY61	3203	0.13768
Lvir-pop_168	FlintRiver_HWY61	3140	0.1621
Lvir-pop_169	FlintRiver_HWY61	3172	0.16646
Lvir-pop_170	FlintRiver_HWY61	3162	0.17457
Lvir-pop_171	FlintRiver_HWY61	3180	0.13019
Lvir-pop_172	FlintRiver_HWY61	3099	0.15908
Lvir-pop_173	FlintRiver_HWY61	3162	0.13156
Lvir-pop_174	FlintRiver_HWY61	3204	0.147
Lvir-pop_175	FlintRiver_HWY61	3201	0.15214
Lvir-pop_176	FlintRiver_HWY61	3180	0.14277
Lvir-pop_177	FlintRiver_HWY61	3168	0.14394
Lvir-pop_178	FlintRiver_HWY61	3171	0.12646
Lvir-pop_179	FlintRiver_HWY61	3186	0.15097
Lvir-pop_180	FlintRiver_HWY61	3171	0.14254
Lvir-pop_181	BentCreek	3147	0.13346
Lvir-pop_182	BentCreek	3193	0.12152
Lvir-pop_183	BentCreek	3169	0.1603
Lvir-pop_184	BentCreek	3208	0.11378
Lvir-pop_185	BentCreek	3180	0.13648
Lvir-pop_186	BentCreek	3188	0.11826
Lvir-pop_187	BentCreek	3128	0.17423
Lvir-pop_188	BentCreek	3183	0.11781
Lvir-pop_189	BentCreek	3223	0.09991
Lvir-pop_190	BentCreek	3089	0.18647
Lvir-pop_191	BentCreek	3171	0.13182
Lvir-pop_192	BentCreek	3186	0.12084
Lvir-pop_193	BentCreek	3195	0.14992
Lvir-pop_194	BentCreek	3177	0.13598
Lvir-pop_195	BentCreek	3207	0.12629
Lvir-pop_196	BentCreek	3202	0.09838
Lvir-pop_197	BentCreek	3219	0.09972
Lvir-pop_198	BentCreek	3184	0.10584
Lvir-pop_199	BentCreek	3211	0.10339
