population	n	Ho	He	Fis	Fis_lo	Fis_hi	pct_poly
LookoutCreek	20	0.088	0.0756	-0.164	-0.2046	-0.1243	31.4
FlintRiver_RylandPike	20	0.1462	0.1278	-0.1444	-0.1753	-0.114	42
Sequatchie_Teague	20	0.1361	0.1265	-0.076	-0.1054	-0.0455	44.9
PaintRock_AL2	20	0.1522	0.1179	-0.2908	-0.3194	-0.2618	42.3
Dry_Creek	20	0.0734	0.0569	-0.2906	-0.3386	-0.2414	23.7
Pidgeon_River	17	0.1499	0.1324	-0.1324	-0.1594	-0.1049	46
Sequatchie_OldYork	20	0.1391	0.1203	-0.1557	-0.1806	-0.1314	44.6
Sequatchie_Inman	20	0.1611	0.1528	-0.0542	-0.08	-0.0282	54
FlintRiver_HWY61	20	0.1823	0.1486	-0.2267	-0.2537	-0.1998	48.3
BentCreek	20	0.1451	0.1113	-0.304	-0.3337	-0.275	39.2
SpringCreek	20	0.1385	0.1093	-0.2673	-0.2977	-0.2358	40.6
