population	n	Ho	He	Fis	Fis_lo	Fis_hi	pct_poly
LookoutCreek	20	0.0716	0.0621	-0.1534	-0.1945	-0.112	26
FlintRiver_RylandPike	20	0.1183	0.1035	-0.1432	-0.1753	-0.1112	34.8
Sequatchie_Teague	20	0.1098	0.1026	-0.0705	-0.1005	-0.04	38.3
PaintRock_AL2	20	0.1242	0.0968	-0.2828	-0.3118	-0.2533	35.8
Dry_Creek	20	0.0605	0.0472	-0.283	-0.3401	-0.225	19.8
Pidgeon_River	17	0.1221	0.1082	-0.1284	-0.156	-0.1009	38.6
Sequatchie_OldYork	20	0.1125	0.0974	-0.1551	-0.1823	-0.1281	37.1
Sequatchie_Inman	20	0.1295	0.1243	-0.0414	-0.0688	-0.0144	46.4
FlintRiver_HWY61	20	0.147	0.1209	-0.2163	-0.2447	-0.1879	40.9
BentCreek	20	0.1211	0.0926	-0.3078	-0.3412	-0.2751	32.8
SpringCreek	20	0.1112	0.0882	-0.2614	-0.2937	-0.2274	33.5
