population	Ar	Ar_n	Ar_lo	Ar_hi	privAr	privAr_n	privAr_lo	privAr_hi	priv_total
LookoutCreek	1.24	1718	1.2201	1.2605	0.0032	1718	0.0011	0.0059	5.5
FlintRiver_RylandPike	1.3311	1718	1.3091	1.3538	0.0029	1718	5e-04	0.0062	4.9
Sequatchie_Teague	1.3625	1718	1.3404	1.3847	1e-04	1718	0	2e-04	0.1
PaintRock_AL2	1.3355	1718	1.3133	1.3584	0.023	1718	0.0166	0.0301	39.5
Dry_Creek	1.1826	1718	1.1649	1.201	0.0012	1718	1e-04	0.0028	2.1
Pidgeon_River	1.3749	1718	1.352	1.3984	0.0231	1718	0.0166	0.0302	39.7
Sequatchie_OldYork	1.3473	1718	1.3263	1.3693	8e-04	1718	1e-04	0.002	1.3
Sequatchie_Inman	1.4371	1718	1.4152	1.4599	0.0031	1718	0.001	0.0057	5.3
FlintRiver_HWY61	1.389	1718	1.3665	1.4122	0.0072	1718	0.0036	0.0115	12.4
BentCreek	1.3079	1718	1.2867	1.3299	0.0475	1718	0.0375	0.0582	81.6
SpringCreek	1.3118	1718	1.2906	1.3335	0.0532	1718	0.0427	0.0642	91.3
