sample	population	loci_called	heterozygosity
Lvir-pop_001	LookoutCreek	1672	0.05383
Lvir-pop_002	LookoutCreek	1680	0.07976
Lvir-pop_003	LookoutCreek	1666	0.08103
Lvir-pop_004	LookoutCreek	1599	0.04816
Lvir-pop_005	LookoutCreek	1652	0.08717
Lvir-pop_006	LookoutCreek	1669	0.0695
Lvir-pop_007	LookoutCreek	1673	0.08966
Lvir-pop_008	LookoutCreek	1672	0.09569
Lvir-pop_009	LookoutCreek	1679	0.07088
Lvir-pop_010	LookoutCreek	1660	0.0512
Lvir-pop_011	LookoutCreek	1685	0.08368
Lvir-pop_012	LookoutCreek	1679	0.07207
Lvir-pop_013	LookoutCreek	1643	0.05904
Lvir-pop_014	LookoutCreek	1671	0.05865
Lvir-pop_015	LookoutCreek	1665	0.05586
Lvir-pop_016	LookoutCreek	1648	0.04551
Lvir-pop_017	LookoutCreek	1681	0.05354
Lvir-pop_018	LookoutCreek	1661	0.0602
Lvir-pop_019	LookoutCreek	1661	0.04816
Lvir-pop_020	LookoutCreek	1597	0.13525
Lvir-pop_021	FlintRiver_RylandPike	1646	0.10693
Lvir-pop_022	FlintRiver_RylandPike	1672	0.11124
Lvir-pop_023	FlintRiver_RylandPike	1642	0.10231
Lvir-pop_024	FlintRiver_RylandPike	1675	0.12299
Lvir-pop_025	FlintRiver_RylandPike	1594	0.09536
Lvir-pop_026	FlintRiver_RylandPike	1659	0.12297
Lvir-pop_027	FlintRiver_RylandPike	1626	0.10209
Lvir-pop_028	FlintRiver_RylandPike	1632	0.11949
Lvir-pop_029	FlintRiver_RylandPike	1660	0.11325
Lvir-pop_030	FlintRiver_RylandPike	1621	0.10241
Lvir-pop_031	FlintRiver_RylandPike	1604	0.1889
Lvir-pop_032	FlintRiver_RylandPike	1658	0.10012
Lvir-pop_033	FlintRiver_RylandPike	1640	0.15305
Lvir-pop_034	FlintRiver_RylandPike	1617	0.09091
Lvir-pop_035	FlintRiver_RylandPike	1681	0.12552
Lvir-pop_036	FlintRiver_RylandPike	1635	0.11193
Lvir-pop_037	FlintRiver_RylandPike	1682	0.10404
Lvir-pop_038	FlintRiver_RylandPike	1646	0.13426
Lvir-pop_039	FlintRiver_RylandPike	1682	0.12069
Lvir-pop_040	FlintRiver_RylandPike	1629	0.08963
Lvir-pop_041	Sequatchie_Teague	1642	0.12424
Lvir-pop_042	Sequatchie_Teague	1660	0.12831
Lvir-pop_043	Sequatchie_Teague	1678	0.09476
Lvir-pop_044	Sequatchie_Teague	1656	0.11232
Lvir-pop_045	Sequatchie_Teague	1636	0.13814
Lvir-pop_046	Sequatchie_Teague	1671	0.09874
Lvir-pop_047	Sequatchie_Teague	1673	0.06814
Lvir-pop_048	Sequatchie_Teague	1676	0.08532
Lvir-pop_049	Sequatchie_Teague	1671	0.08797
Lvir-pop_050	Sequatchie_Teague	1674	0.10573
Lvir-pop_051	Sequatchie_Teague	1669	0.09347
Lvir-pop_052	Sequatchie_Teague	1684	0.09382
Lvir-pop_053	Sequatchie_Teague	1670	0.12275
Lvir-pop_054	Sequatchie_Teague	1652	0.13015
Lvir-pop_055	Sequatchie_Teague	1679	0.10185
Lvir-pop_056	Sequatchie_Teague	1641	0.06947
Lvir-pop_057	Sequatchie_Teague	1675	0.12119
Lvir-pop_058	Sequatchie_Teague	1662	0.142
Lvir-pop_059	Sequatchie_Teague	1668	0.09592
Lvir-pop_060	Sequatchie_Teague	1669	0.14679
