population	n	Ho	He	Fis	Fis_lo	Fis_hi	pct_poly
LookoutCreek	20	0.072	0.0624	-0.154	-0.1951	-0.1124	25.9
FlintRiver_RylandPike	20	0.1186	0.1036	-0.1445	-0.1767	-0.1121	34.9
Sequatchie_Teague	20	0.109	0.1019	-0.0705	-0.1011	-0.0395	38.1
PaintRock_AL2	20	0.1239	0.0967	-0.2811	-0.3096	-0.2517	35.6
Dry_Creek	20	0.0604	0.047	-0.2835	-0.3412	-0.2247	19.6
Pidgeon_River	17	0.1214	0.1075	-0.1289	-0.1567	-0.1008	38.4
Sequatchie_OldYork	20	0.1108	0.0961	-0.154	-0.1813	-0.1272	36.8
Sequatchie_Inman	20	0.1282	0.1233	-0.0405	-0.0678	-0.0131	46.1
FlintRiver_HWY61	20	0.1475	0.121	-0.2191	-0.2478	-0.1902	40.9
BentCreek	20	0.1216	0.093	-0.307	-0.3403	-0.2744	32.9
SpringCreek	20	0.1108	0.0879	-0.2607	-0.2934	-0.2265	33.5
