population	Ar	Ar_n	Ar_lo	Ar_hi	privAr	privAr_n	privAr_lo	privAr_hi	priv_total
LookoutCreek	1.2394	1701	1.2195	1.2599	0.0032	1701	0.0011	0.006	5.5
FlintRiver_RylandPike	1.3321	1701	1.31	1.355	0.0029	1701	5e-04	0.0062	4.9
Sequatchie_Teague	1.3603	1701	1.3382	1.3829	1e-04	1701	0	2e-04	0.1
PaintRock_AL2	1.3341	1701	1.3117	1.3572	0.0232	1701	0.0167	0.0304	39.5
Dry_Creek	1.1808	1701	1.1631	1.1991	0.0012	1701	1e-04	0.0028	2.1
Pidgeon_River	1.373	1701	1.3499	1.3964	0.0234	1701	0.0168	0.0305	39.7
Sequatchie_OldYork	1.3439	1701	1.3228	1.3658	8e-04	1701	1e-04	0.002	1.3
Sequatchie_Inman	1.4347	1701	1.4125	1.4573	0.0031	1701	0.001	0.0057	5.3
FlintRiver_HWY61	1.389	1701	1.3663	1.4121	0.0073	1701	0.0036	0.0116	12.4
BentCreek	1.3087	1701	1.2874	1.331	0.048	1701	0.0379	0.0588	81.6
SpringCreek	1.311	1701	1.2899	1.3327	0.0531	1701	0.0425	0.0641	90.3
