sample	population	loci_called	heterozygosity
Lvir-pop_001	LookoutCreek	1267	0.04972
Lvir-pop_002	LookoutCreek	1274	0.07928
Lvir-pop_003	LookoutCreek	1265	0.07905
Lvir-pop_004	LookoutCreek	1210	0.04959
Lvir-pop_005	LookoutCreek	1257	0.08512
Lvir-pop_006	LookoutCreek	1267	0.06946
Lvir-pop_007	LookoutCreek	1271	0.0952
Lvir-pop_008	LookoutCreek	1269	0.09929
Lvir-pop_009	LookoutCreek	1273	0.07384
Lvir-pop_010	LookoutCreek	1262	0.05071
Lvir-pop_011	LookoutCreek	1279	0.08053
Lvir-pop_012	LookoutCreek	1273	0.06756
Lvir-pop_013	LookoutCreek	1250	0.0576
Lvir-pop_014	LookoutCreek	1268	0.05757
Lvir-pop_015	LookoutCreek	1262	0.05784
Lvir-pop_016	LookoutCreek	1250	0.0472
Lvir-pop_017	LookoutCreek	1276	0.05329
Lvir-pop_018	LookoutCreek	1258	0.05803
Lvir-pop_019	LookoutCreek	1259	0.04527
Lvir-pop_020	LookoutCreek	1213	0.1385
Lvir-pop_021	FlintRiver_RylandPike	1246	0.10915
Lvir-pop_022	FlintRiver_RylandPike	1271	0.11408
Lvir-pop_023	FlintRiver_RylandPike	1246	0.10353
Lvir-pop_024	FlintRiver_RylandPike	1278	0.12833
Lvir-pop_025	FlintRiver_RylandPike	1208	0.10182
Lvir-pop_026	FlintRiver_RylandPike	1261	0.13402
Lvir-pop_027	FlintRiver_RylandPike	1238	0.10258
Lvir-pop_028	FlintRiver_RylandPike	1240	0.12258
Lvir-pop_029	FlintRiver_RylandPike	1260	0.11508
Lvir-pop_030	FlintRiver_RylandPike	1236	0.11165
Lvir-pop_031	FlintRiver_RylandPike	1227	0.19804
Lvir-pop_032	FlintRiver_RylandPike	1260	0.10873
Lvir-pop_033	FlintRiver_RylandPike	1241	0.16519
Lvir-pop_034	FlintRiver_RylandPike	1230	0.09919
Lvir-pop_035	FlintRiver_RylandPike	1276	0.12618
Lvir-pop_036	FlintRiver_RylandPike	1243	0.12068
Lvir-pop_037	FlintRiver_RylandPike	1275	0.10667
Lvir-pop_038	FlintRiver_RylandPike	1251	0.13749
Lvir-pop_039	FlintRiver_RylandPike	1274	0.1248
Lvir-pop_040	FlintRiver_RylandPike	1237	0.09943
Lvir-pop_041	Sequatchie_Teague	1253	0.12769
Lvir-pop_042	Sequatchie_Teague	1260	0.13095
Lvir-pop_043	Sequatchie_Teague	1272	0.09748
Lvir-pop_044	Sequatchie_Teague	1262	0.11014
Lvir-pop_045	Sequatchie_Teague	1246	0.14687
Lvir-pop_046	Sequatchie_Teague	1271	0.09363
Lvir-pop_047	Sequatchie_Teague	1271	0.06924
Lvir-pop_048	Sequatchie_Teague	1269	0.08826
Lvir-pop_049	Sequatchie_Teague	1267	0.09471
Lvir-pop_050	Sequatchie_Teague	1268	0.10489
Lvir-pop_051	Sequatchie_Teague	1264	0.09573
Lvir-pop_052	Sequatchie_Teague	1278	0.09311
Lvir-pop_053	Sequatchie_Teague	1266	0.12401
Lvir-pop_054	Sequatchie_Teague	1257	0.13445
Lvir-pop_055	Sequatchie_Teague	1275	0.10431
Lvir-pop_056	Sequatchie_Teague	1247	0.06816
Lvir-pop_057	Sequatchie_Teague	1270	0.12205
Lvir-pop_058	Sequatchie_Teague	1260	0.14444
Lvir-pop_059	Sequatchie_Teague	1271	0.09441
Lvir-pop_060	Sequatchie_Teague	1272	0.15409
Lvir-pop_061	PaintRock_AL2	1274	0.09969
Lvir-pop_062	PaintRock_AL2	1274	0.12245
Lvir-pop_063	PaintRock_AL2	1265	0.11937
Lvir-pop_064	PaintRock_AL2	1276	0.10345
Lvir-pop_065	PaintRock_AL2	1268	0.15379
Lvir-pop_066	PaintRock_AL2	1256	0.125
Lvir-pop_067	PaintRock_AL2	1269	0.11663
Lvir-pop_068	PaintRock_AL2	1265	0.13518
