population	Ar	Ar_n	Ar_lo	Ar_hi	privAr	privAr_n	privAr_lo	privAr_hi	priv_total
LookoutCreek	1.3165	1691	1.2943	1.3385	0.007	1686	0.0037	0.011	11.8
FlintRiver_RylandPike	1.4346	1691	1.4098	1.4596	0.0082	1686	0.0046	0.0123	13.8
Sequatchie_Teague	1.4769	1692	1.4509	1.5026	4e-04	1686	1e-04	8e-04	0.6
PaintRock_AL2	1.4263	1692	1.4017	1.4514	0.0339	1686	0.0257	0.0424	57.1
Dry_Creek	1.2291	1690	1.2096	1.2491	0.0037	1686	0.0015	0.0065	6.3
Pidgeon_River	1.4779	1689	1.4525	1.5035	0.0341	1686	0.0261	0.0426	57.4
Sequatchie_OldYork	1.4731	1692	1.4477	1.4978	0.0039	1686	0.0016	0.0068	6.6
Sequatchie_Inman	1.5806	1690	1.5546	1.6067	0.0079	1686	0.0043	0.0118	13.3
FlintRiver_HWY61	1.5086	1692	1.4834	1.5342	0.011	1686	0.0069	0.0158	18.6
BentCreek	1.3912	1692	1.3674	1.4146	0.0539	1686	0.0436	0.065	90.9
SpringCreek	1.4145	1693	1.3905	1.4387	0.0688	1686	0.0566	0.0818	116
