population	n	Ho	He	Fis	Fis_lo	Fis_hi	pct_poly
LookoutCreek	20	0.0988	0.0822	-0.2017	-0.2372	-0.1664	33
FlintRiver_RylandPike	20	0.1563	0.1332	-0.1729	-0.2015	-0.1447	43.4
Sequatchie_Teague	20	0.1341	0.1244	-0.0777	-0.104	-0.0508	46.7
PaintRock_AL2	20	0.1545	0.1188	-0.3004	-0.3268	-0.2732	42.1
Dry_Creek	20	0.0734	0.0569	-0.2902	-0.3321	-0.2478	23.7
Pidgeon_River	17	0.1502	0.1318	-0.1397	-0.1642	-0.1151	46.3
Sequatchie_OldYork	20	0.1378	0.1202	-0.1466	-0.1676	-0.1253	47.1
Sequatchie_Inman	20	0.1635	0.1538	-0.063	-0.0854	-0.0411	56.2
FlintRiver_HWY61	20	0.1842	0.1489	-0.237	-0.2608	-0.2123	50
BentCreek	20	0.1502	0.1139	-0.3188	-0.3465	-0.2916	39.7
SpringCreek	20	0.1396	0.112	-0.2469	-0.275	-0.2179	42
