population	Ar	Ar_n	Ar_lo	Ar_hi	privAr	privAr_n	privAr_lo	privAr_hi	priv_total
LookoutCreek	1.3135	1693	1.2919	1.3357	0.007	1693	0.0037	0.011	11.8
FlintRiver_RylandPike	1.4302	1693	1.4057	1.4549	0.0077	1693	0.0042	0.0117	13.1
Sequatchie_Teague	1.4655	1693	1.4401	1.4909	4e-04	1693	1e-04	8e-04	0.6
PaintRock_AL2	1.4207	1693	1.3962	1.4453	0.0331	1693	0.025	0.0416	56.1
Dry_Creek	1.2257	1693	1.2064	1.2459	0.0037	1693	0.0015	0.0065	6.3
Pidgeon_River	1.4695	1693	1.4442	1.4949	0.0337	1693	0.0258	0.0422	57.1
Sequatchie_OldYork	1.4611	1693	1.4362	1.4854	0.0039	1693	0.0016	0.0068	6.6
Sequatchie_Inman	1.5689	1693	1.5435	1.5944	0.0073	1693	0.004	0.0112	12.4
FlintRiver_HWY61	1.5004	1693	1.4757	1.5255	0.011	1693	0.0069	0.0158	18.6
BentCreek	1.3872	1693	1.3635	1.4106	0.0537	1693	0.0435	0.0648	91
SpringCreek	1.4081	1693	1.3845	1.432	0.0683	1693	0.0563	0.0812	115.7
