sample	population	loci_called	heterozygosity
Lvir-pop_001	LookoutCreek	2143	0.06066
Lvir-pop_002	LookoutCreek	2143	0.08633
Lvir-pop_003	LookoutCreek	2130	0.09202
Lvir-pop_004	LookoutCreek	2059	0.05585
Lvir-pop_005	LookoutCreek	2116	0.09026
Lvir-pop_006	LookoutCreek	2135	0.07447
Lvir-pop_007	LookoutCreek	2142	0.0915
Lvir-pop_008	LookoutCreek	2127	0.10578
Lvir-pop_009	LookoutCreek	2136	0.08287
Lvir-pop_010	LookoutCreek	2129	0.06153
Lvir-pop_011	LookoutCreek	2146	0.08155
Lvir-pop_012	LookoutCreek	2138	0.07343
Lvir-pop_013	LookoutCreek	2117	0.06471
Lvir-pop_014	LookoutCreek	2142	0.06676
Lvir-pop_015	LookoutCreek	2133	0.06423
Lvir-pop_016	LookoutCreek	2125	0.05176
Lvir-pop_017	LookoutCreek	2136	0.05712
Lvir-pop_018	LookoutCreek	2122	0.07446
Lvir-pop_019	LookoutCreek	2133	0.0572
Lvir-pop_020	LookoutCreek	2057	0.13904
Lvir-pop_021	FlintRiver_RylandPike	2118	0.11237
Lvir-pop_022	FlintRiver_RylandPike	2144	0.12687
Lvir-pop_023	FlintRiver_RylandPike	2112	0.10464
Lvir-pop_024	FlintRiver_RylandPike	2138	0.12582
Lvir-pop_025	FlintRiver_RylandPike	2066	0.10891
Lvir-pop_026	FlintRiver_RylandPike	2132	0.12805
Lvir-pop_027	FlintRiver_RylandPike	2096	0.10448
Lvir-pop_028	FlintRiver_RylandPike	2106	0.11538
Lvir-pop_029	FlintRiver_RylandPike	2119	0.11468
Lvir-pop_030	FlintRiver_RylandPike	2082	0.11095
Lvir-pop_031	FlintRiver_RylandPike	2078	0.17806
Lvir-pop_032	FlintRiver_RylandPike	2117	0.1129
Lvir-pop_033	FlintRiver_RylandPike	2102	0.15176
Lvir-pop_034	FlintRiver_RylandPike	2081	0.09803
Lvir-pop_035	FlintRiver_RylandPike	2142	0.13025
Lvir-pop_036	FlintRiver_RylandPike	2096	0.12261
Lvir-pop_037	FlintRiver_RylandPike	2154	0.11003
Lvir-pop_038	FlintRiver_RylandPike	2109	0.1394
Lvir-pop_039	FlintRiver_RylandPike	2134	0.12793
Lvir-pop_040	FlintRiver_RylandPike	2095	0.10263
Lvir-pop_041	Sequatchie_Teague	2107	0.13336
Lvir-pop_042	Sequatchie_Teague	2125	0.12282
Lvir-pop_043	Sequatchie_Teague	2131	0.09714
Lvir-pop_044	Sequatchie_Teague	2108	0.11243
Lvir-pop_045	Sequatchie_Teague	2095	0.13556
Lvir-pop_046	Sequatchie_Teague	2137	0.09546
Lvir-pop_047	Sequatchie_Teague	2142	0.06956
Lvir-pop_048	Sequatchie_Teague	2146	0.08807
Lvir-pop_049	Sequatchie_Teague	2122	0.08954
Lvir-pop_050	Sequatchie_Teague	2144	0.10681
Lvir-pop_051	Sequatchie_Teague	2143	0.09239
Lvir-pop_052	Sequatchie_Teague	2161	0.09209
Lvir-pop_053	Sequatchie_Teague	2149	0.11726
Lvir-pop_054	Sequatchie_Teague	2126	0.12935
Lvir-pop_055	Sequatchie_Teague	2146	0.09972
Lvir-pop_056	Sequatchie_Teague	2112	0.07812
Lvir-pop_057	Sequatchie_Teague	2142	0.12138
Lvir-pop_058	Sequatchie_Teague	2110	0.1436
Lvir-pop_059	Sequatchie_Teague	2142	0.0915
Lvir-pop_060	Sequatchie_Teague	2109	0.13798
Lvir-pop_061	PaintRock_AL2	2139	0.10238
Lvir-pop_062	PaintRock_AL2	2134	0.11153
Lvir-pop_063	PaintRock_AL2	2133	0.11346
Lvir-pop_064	PaintRock_AL2	2142	0.09804
Lvir-pop_065	PaintRock_AL2	2145	0.14732
Lvir-pop_066	PaintRock_AL2	2113	0.11973
Lvir-pop_067	PaintRock_AL2	2138	0.11038
Lvir-pop_068	PaintRock_AL2	2119	0.12317
Lvir-pop_069	PaintRock_AL2	2132	0.12758
Lvir-pop_070	PaintRock_AL2	2148	0.10894
Lvir-pop_071	PaintRock_AL2	2126	0.1477
Lvir-pop_072	PaintRock_AL2	2056	0.15224
Lvir-pop_073	PaintRock_AL2	2156	0.09972
Lvir-pop_074	PaintRock_AL2	2138	0.14546
Lvir-pop_075	PaintRock_AL2	2137	0.14179
Lvir-pop_076	PaintRock_AL2	2146	0.13048
Lvir-pop_077	PaintRock_AL2	2134	0.14855
Lvir-pop_078	PaintRock_AL2	2152	0.12035
Lvir-pop_079	PaintRock_AL2	2142	0.09617
Lvir-pop_080	PaintRock_AL2	2119	0.1345
Lvir-pop_081	Dry_Creek	2126	0.04986
Lvir-pop_082	Dry_Creek	2124	0.04849
Lvir-pop_083	Dry_Creek	2140	0.06916
