population	n	Ho	He	Fis	Fis_lo	Fis_hi	pct_poly
LookoutCreek	20	0.0845	0.0701	-0.2051	-0.2426	-0.1684	28.8
FlintRiver_RylandPike	20	0.1346	0.1132	-0.1893	-0.2211	-0.1576	37.5
Sequatchie_Teague	20	0.1135	0.1048	-0.0824	-0.1103	-0.0536	41.3
PaintRock_AL2	20	0.1359	0.1038	-0.3098	-0.3387	-0.2805	37.7
Dry_Creek	20	0.0613	0.047	-0.3037	-0.3496	-0.2562	20
Pidgeon_River	17	0.1303	0.1135	-0.1486	-0.1748	-0.1223	40.5
Sequatchie_OldYork	20	0.1179	0.1022	-0.154	-0.1759	-0.1311	41.3
Sequatchie_Inman	20	0.1397	0.1309	-0.0675	-0.0922	-0.0432	49.6
FlintRiver_HWY61	20	0.1562	0.1261	-0.2383	-0.265	-0.2113	43.9
BentCreek	20	0.1291	0.0973	-0.3258	-0.3566	-0.296	34.5
SpringCreek	20	0.1181	0.0951	-0.2416	-0.2729	-0.2099	36.3
