population	Ar	Ar_n	Ar_lo	Ar_hi	privAr	privAr_n	privAr_lo	privAr_hi	priv_total
LookoutCreek	1.267	1693	1.2469	1.2872	0.0048	1693	0.002	0.0083	8.1
FlintRiver_RylandPike	1.357	1693	1.3348	1.3792	0.0023	1693	8e-04	0.0043	3.9
Sequatchie_Teague	1.3874	1693	1.3653	1.4095	1e-04	1693	0	2e-04	0.1
PaintRock_AL2	1.3538	1693	1.3322	1.3755	0.0224	1693	0.016	0.0293	37.9
Dry_Creek	1.1841	1693	1.1668	1.202	6e-04	1693	0	0.0013	1
Pidgeon_River	1.3932	1693	1.3704	1.4164	0.0181	1693	0.0124	0.0243	30.6
Sequatchie_OldYork	1.3838	1693	1.3615	1.4056	8e-04	1693	1e-04	0.0021	1.4
Sequatchie_Inman	1.4667	1693	1.4438	1.4896	0.0035	1693	0.0012	0.0064	6
FlintRiver_HWY61	1.4153	1693	1.3933	1.438	0.0047	1693	0.0019	0.0079	7.9
BentCreek	1.3245	1693	1.303	1.346	0.0364	1693	0.0281	0.0452	61.7
SpringCreek	1.3391	1693	1.3174	1.3607	0.0443	1693	0.0353	0.0541	75
